appearedTimeOfDay,appearedHour,terrainType,closeToWater,continent,weather,temperature,windSpeed,pressure,population_density,urban,suburban,midurban,rural,gymDistanceKm,gymIn100m,gymIn250m,gymIn500m,gymIn1000m,gymIn2500m,gymIn5000m,pokestopDistanceKm,pokestopIn100m,pokestopIn250m,pokestopIn500m,pokestopIn1000m,pokestopIn2500m,pokestopIn5000m
night,3,12,FALSE,America,Clear,20.2,7.76,1016.63,80.447365,FALSE,FALSE,FALSE,TRUE,19.634826,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19.634826,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
night,20,13,FALSE,Europe,PartlyCloudy,19.1,10.26,1014.17,2431.2341,TRUE,TRUE,TRUE,FALSE,0.14522,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.085798,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,1,13,TRUE,Africa,Clear,22.7,4.52,1014.26,0,FALSE,FALSE,FALSE,TRUE,0.449119,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.282072,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
morning,8,13,FALSE,Pacific,Clear,12.7,18.36,1010.75,1265.7916,TRUE,TRUE,TRUE,FALSE,0.531374,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.165305,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,8,2,TRUE,America,Clear,26.4,12.32,1019.76,83.418015,FALSE,FALSE,FALSE,TRUE,2.008885,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1.238823,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
night,5,13,FALSE,Asia,Clear,32.8,2.96,1011.04,411.31375,FALSE,TRUE,TRUE,FALSE,0.545065,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.151533,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
evening,18,13,TRUE,Europe,Clear,17.7,12.01,1016.25,1886.2122,TRUE,TRUE,TRUE,FALSE,0.080478,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.132932,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,13,12,FALSE,Europe,PartlyCloudy,25.8,2.13,1017.62,683.3539,FALSE,TRUE,TRUE,FALSE,0.172461,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.071272,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,12,5,TRUE,Europe,PartlyCloudy,28.3,2.45,1016.52,2431.2341,TRUE,TRUE,TRUE,FALSE,0.429575,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.169359,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
evening,18,12,FALSE,Europe,MostlyCloudy,27.9,3.33,1013.43,230.2527,FALSE,FALSE,TRUE,FALSE,0.113365,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.012217,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
evening,16,12,TRUE,Europe,Clear,18.2,15.16,1011.78,761.8856,FALSE,TRUE,TRUE,FALSE,0.656126,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.656126,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
night,4,13,FALSE,Europe,Clear,16.1,6.76,1023.31,247.57158,FALSE,FALSE,TRUE,FALSE,0.098464,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.138337,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,7,13,FALSE,Asia,MostlyCloudy,32.4,1.28,1006.46,10000,TRUE,TRUE,TRUE,FALSE,0.22221,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.212488,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,21,16,TRUE,Asia,Clear,32.4,5.83,1002.8,214.14536,FALSE,FALSE,TRUE,FALSE,0.486694,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.272093,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
morning,10,12,TRUE,Europe,Clear,17.5,16.25,1008.3,761.8856,FALSE,TRUE,TRUE,FALSE,0.106283,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.184331,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,14,13,FALSE,Europe,Overcast,23.6,6.93,1023.67,8341.802,TRUE,TRUE,TRUE,FALSE,0.184378,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.042185,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
evening,16,13,FALSE,Europe,MostlyCloudy,19.6,4.55,1025.9,2261.157,TRUE,TRUE,TRUE,FALSE,0.159234,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.06303,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,2,8,TRUE,Europe,MostlyCloudy,21.9,6.63,1012.64,0,FALSE,FALSE,FALSE,TRUE,0.396362,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.28764,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
night,1,5,FALSE,America,Clear,22.2,4.75,1017.58,23.446539,FALSE,FALSE,FALSE,TRUE,0.139647,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.139647,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,3,13,FALSE,America,Drizzle,14,3.08,1008.47,1573.4408,TRUE,TRUE,TRUE,FALSE,0.233586,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.031098,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,0,13,TRUE,Europe,Clear,18,5.22,1020.55,0,FALSE,FALSE,FALSE,TRUE,0.367687,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.055115,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,21,5,FALSE,Europe,Breezy,18.7,19.55,1016.21,1094.8889,TRUE,TRUE,TRUE,FALSE,0.09688,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.006426,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,20,0,TRUE,America,PartlyCloudy,19.5,10.53,1009.95,2102.9775,TRUE,TRUE,TRUE,FALSE,0.100269,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.030983,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,20,13,FALSE,America,Clear,36.5,15.04,1016.64,849.44226,TRUE,TRUE,TRUE,FALSE,0.727828,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.865132,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
night,4,8,FALSE,America,Clear,28.2,4.84,1019.14,30.221426,FALSE,FALSE,FALSE,TRUE,0.011735,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.077636,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
evening,17,13,FALSE,Europe,MostlyCloudy,22.5,5.72,1023.2,2810.7285,TRUE,TRUE,TRUE,FALSE,0.232032,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.161428,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,1,12,FALSE,America,Clear,31.3,9.12,1007.18,330.89105,FALSE,FALSE,TRUE,FALSE,0.725093,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.194888,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,5,13,FALSE,America,Clear,15.5,4.73,1016.25,185.23222,FALSE,FALSE,FALSE,TRUE,0.176225,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.035173,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,20,14,FALSE,America,Clear,6.8,1.07,1018.74,55.97982,FALSE,FALSE,FALSE,TRUE,0.242881,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.017108,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,6,13,FALSE,Australia,Overcast,15.2,5.48,1028.32,1055.8982,TRUE,TRUE,TRUE,FALSE,0.011406,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.136831,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,10,13,FALSE,Europe,Overcast,17.7,2.14,1018.94,1573.4408,TRUE,TRUE,TRUE,FALSE,0.121651,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.015697,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,15,13,FALSE,America,PartlyCloudy,23.6,12.49,1017.92,2810.7285,TRUE,TRUE,TRUE,FALSE,0.120808,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.060838,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,9,0,TRUE,Europe,Dry,28.2,4.15,1019.12,0,FALSE,FALSE,FALSE,TRUE,0.300878,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.326669,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
night,5,5,FALSE,Europe,Clear,16.1,6.76,1023.31,247.57158,FALSE,FALSE,TRUE,FALSE,0.243507,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.158935,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,2,13,FALSE,America,Clear,37.3,8.08,1001.49,2180.6335,TRUE,TRUE,TRUE,FALSE,0.430311,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.215949,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,8,13,FALSE,Europe,MostlyCloudy,16.8,2.69,1018.02,1573.4408,TRUE,TRUE,TRUE,FALSE,0.157151,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.019221,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
evening,16,12,FALSE,America,Clear,17.1,2.18,1012.01,880.8093,TRUE,TRUE,TRUE,FALSE,0.442942,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.183109,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,5,8,FALSE,America,Clear,24.5,6.4,1021.13,38.953922,FALSE,FALSE,FALSE,TRUE,0.594406,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.594406,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
morning,9,13,FALSE,Asia,Clear,31.1,5.9,1008.29,5597.982,TRUE,TRUE,TRUE,FALSE,0.514208,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.267241,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
night,1,13,TRUE,America,Clear,28.4,4.77,1013.65,1955.8636,TRUE,TRUE,TRUE,FALSE,0.415437,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.06366,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,4,13,FALSE,America,PartlyCloudy,17.2,9.72,1012.25,2521.0115,TRUE,TRUE,TRUE,FALSE,0.275678,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.125843,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,23,13,FALSE,Europe,MostlyCloudy,12.2,9.77,1021.1,247.57158,FALSE,FALSE,TRUE,FALSE,0.217819,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.020297,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,6,0,TRUE,America,Clear,25.8,3.29,1019.32,0,FALSE,FALSE,FALSE,TRUE,0.259001,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.289086,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
night,23,13,FALSE,America,Clear,26.3,9.99,1019.21,2810.7285,TRUE,TRUE,TRUE,FALSE,0.341663,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.023973,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,7,2,TRUE,America,PartlyCloudy,22.1,2.13,1017.9,5020.9673,TRUE,TRUE,TRUE,FALSE,0.252332,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.099426,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
evening,18,13,TRUE,America,PartlyCloudy,19.1,5.78,1011.36,4188.391,TRUE,TRUE,TRUE,FALSE,0.49683,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.465211,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
morning,7,12,TRUE,Europe,Clear,17.8,8.39,1022.19,0,FALSE,FALSE,FALSE,TRUE,0.297174,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.268982,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
night,0,8,TRUE,Europe,Clear,22.8,0.75,1015.74,0,FALSE,FALSE,FALSE,TRUE,0.181879,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.027604,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,13,13,FALSE,Asia,MostlyCloudy,30.3,6.39,1007.29,10000,TRUE,TRUE,TRUE,FALSE,0.418512,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.112754,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,20,0,TRUE,America,PartlyCloudy,26,10.54,1021.17,77.582504,FALSE,FALSE,FALSE,TRUE,0.718259,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.092591,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,1,7,FALSE,America,Clear,36.1,1.73,1006.05,119.87818,FALSE,FALSE,FALSE,TRUE,0.222887,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.199456,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,6,5,TRUE,America,Clear,14.7,2.72,1016.2,458.58234,FALSE,TRUE,TRUE,FALSE,0.086245,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.020992,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,12,13,FALSE,America,Clear,18.5,0.6,1023.74,343.10977,FALSE,FALSE,TRUE,FALSE,0.444592,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.103475,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,7,13,FALSE,America,PartlyCloudy,18.3,5,1021.18,493.07547,FALSE,TRUE,TRUE,FALSE,0.245945,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.062422,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,6,7,FALSE,America,PartlyCloudy,32.3,12.96,1007.19,7.085878,FALSE,FALSE,FALSE,TRUE,0.147067,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.151723,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,2,12,TRUE,Europe,Clear,25.2,2.47,1017.08,330.89105,FALSE,FALSE,TRUE,FALSE,0.191225,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.219976,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,6,13,FALSE,America,Clear,31.1,6.88,1001.9,1411.2576,TRUE,TRUE,TRUE,FALSE,0.42524,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.006176,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,14,7,FALSE,Europe,Clear,33,9.37,1017,1411.2576,TRUE,TRUE,TRUE,FALSE,5.239273,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.626822,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
afternoon,14,14,FALSE,America,Clear,26.1,6.92,1022.63,160.22284,FALSE,FALSE,FALSE,TRUE,0.265976,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.299052,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
night,5,13,FALSE,America,Clear,27.8,6,1013.7,849.44226,TRUE,TRUE,TRUE,FALSE,1.31386,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1.31386,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
night,23,12,FALSE,Europe,MostlyCloudy,22.7,5.9,1013.29,591.0899,FALSE,TRUE,TRUE,FALSE,0.097682,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.056456,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,11,1,TRUE,Europe,Rain,13.1,5.5,1008.94,0,FALSE,FALSE,FALSE,TRUE,0.349124,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.037121,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,15,12,FALSE,Europe,MostlyCloudy,24.3,16.59,1011.61,138.59012,FALSE,FALSE,FALSE,TRUE,0.11169,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.064574,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,23,14,FALSE,America,Clear,32.4,12.72,1018.24,382.54028,FALSE,FALSE,TRUE,FALSE,3.458018,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.969383,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
evening,19,13,FALSE,America,Clear,28.6,3.41,1023.44,1094.8889,TRUE,TRUE,TRUE,FALSE,0.137556,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.121677,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,10,0,TRUE,Europe,Clear,16.4,18.04,1009.9,0,FALSE,FALSE,FALSE,TRUE,0.410701,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.117817,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,0,13,TRUE,America,Clear,19.6,12.8,1018.61,5597.982,TRUE,TRUE,TRUE,FALSE,0.270623,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.319285,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
night,23,14,FALSE,America,Clear,33,1.81,1020.17,530.163,FALSE,TRUE,TRUE,FALSE,0.580288,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.498684,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
night,20,8,FALSE,America,Clear,32,3.72,1021.67,426.5022,FALSE,TRUE,TRUE,FALSE,0.865765,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.622647,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
afternoon,14,1,TRUE,Europe,Clear,16.9,8.96,1009.89,0,FALSE,FALSE,FALSE,TRUE,0.183412,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.386163,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
evening,18,13,FALSE,Europe,MostlyCloudy,22.5,5.72,1023.2,10000,TRUE,TRUE,TRUE,FALSE,0.250916,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.016228,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,8,13,FALSE,America,MostlyCloudy,16.2,4.1,1009.24,1573.4408,TRUE,TRUE,TRUE,FALSE,0.49363,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.066408,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,23,13,FALSE,America,Clear,28.3,14.56,1015.95,7758.25,TRUE,TRUE,TRUE,FALSE,0.39204,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.027506,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,9,13,FALSE,America,Clear,26.5,6.54,1016.3,849.44226,TRUE,TRUE,TRUE,FALSE,0.786731,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.926173,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
evening,16,13,FALSE,Europe,Clear,21.1,7.8,1022.9,2261.157,TRUE,TRUE,TRUE,FALSE,0.041216,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.121397,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,14,13,FALSE,Europe,MostlyCloudy,26.3,3.03,1017.03,1018.29596,TRUE,TRUE,TRUE,FALSE,0.335768,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.032627,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,8,0,TRUE,Asia,MostlyCloudy,29.6,7.97,1010.96,18.862122,FALSE,FALSE,FALSE,TRUE,308.597823,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.076819,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
night,1,13,FALSE,Asia,MostlyCloudy,25.1,3.25,1011.17,10000,TRUE,TRUE,TRUE,FALSE,0.408735,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.292376,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
night,2,13,FALSE,America,Clear,22.4,5.66,1019.05,1886.2122,TRUE,TRUE,TRUE,FALSE,0.026745,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.056112,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,20,13,TRUE,America,PartlyCloudy,29.6,14.6,1017.37,5020.9673,TRUE,TRUE,TRUE,FALSE,0.113412,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.042357,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,15,7,FALSE,America,Clear,23.3,5.93,1003.59,635.5498,FALSE,TRUE,TRUE,FALSE,0.810844,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.080348,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,6,12,FALSE,America,Clear,19,1.11,1008.27,330.89105,FALSE,FALSE,TRUE,FALSE,0.492304,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.440162,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
night,0,8,FALSE,America,Clear,26.8,9.89,1019.59,38.953922,FALSE,FALSE,FALSE,TRUE,0.620164,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.245352,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,7,12,FALSE,America,Clear,18.7,1.89,1009.2,330.89105,FALSE,FALSE,TRUE,FALSE,0.574797,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.412911,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
night,4,14,FALSE,America,Rain,22,12.29,1001.32,40.392357,FALSE,FALSE,FALSE,TRUE,3.177264,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.636105,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
night,5,13,FALSE,Asia,PartlyCloudy,29.8,2.49,1015.31,5597.982,TRUE,TRUE,TRUE,FALSE,0.310553,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.077491,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,11,13,TRUE,Europe,PartlyCloudy,26.3,6.5,1017.84,0,FALSE,FALSE,FALSE,TRUE,0.337366,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.169644,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,10,13,FALSE,America,Clear,26.1,5.65,1016.16,849.44226,TRUE,TRUE,TRUE,FALSE,0.782757,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.921315,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
night,4,8,FALSE,America,PartlyCloudy,28.9,6.58,1019.2,30.221426,FALSE,FALSE,FALSE,TRUE,0.508545,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.12293,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,10,5,FALSE,Europe,PartlyCloudy,21.7,1.75,1020.11,1361.0005,TRUE,TRUE,TRUE,FALSE,0.3665,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.009733,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,8,13,FALSE,America,PartlyCloudy,17.8,5.75,1010.92,2710.6338,TRUE,TRUE,TRUE,FALSE,1.245427,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1.245427,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
morning,7,0,TRUE,Europe,MostlyCloudy,22,1.1,1016.62,9.133347,FALSE,FALSE,FALSE,TRUE,0.243409,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.11848,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,12,0,TRUE,America,Clear,26.6,3.97,1017.65,0,FALSE,FALSE,FALSE,TRUE,0.355322,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.098839,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
evening,19,12,TRUE,Europe,Overcast,18.4,14.3,1015.93,1955.8636,TRUE,TRUE,TRUE,FALSE,0.359598,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.205346,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,10,13,TRUE,America,Clear,19,8.81,1022.61,7758.25,TRUE,TRUE,TRUE,FALSE,0.405522,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.051253,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,0,12,FALSE,Europe,Clear,17.5,10.48,1005.42,138.59012,FALSE,FALSE,FALSE,TRUE,1.774369,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1.774369,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
night,20,7,FALSE,America,Clear,25.3,19.58,1007.68,530.163,FALSE,TRUE,TRUE,FALSE,0.494815,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.34588,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
morning,7,0,TRUE,Europe,MostlyCloudy,6,2.27,1019.35,442.25146,FALSE,TRUE,TRUE,FALSE,0.12623,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.019915,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,6,0,TRUE,America,Clear,17.5,5.68,1010.4,530.163,FALSE,TRUE,TRUE,FALSE,0.52891,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.236204,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
night,3,13,TRUE,Australia,MostlyCloudy,19.6,22.4,1000.98,0,FALSE,FALSE,FALSE,TRUE,0.500322,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.013155,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
night,0,13,FALSE,America,PartlyCloudy,36.2,15.42,1014.6,849.44226,TRUE,TRUE,TRUE,FALSE,0.970566,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1.109609,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
night,23,13,FALSE,Europe,MostlyCloudy,17.5,14.82,1006.86,2344.6538,TRUE,TRUE,TRUE,FALSE,0.241072,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.032646,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
morning,8,13,FALSE,Australia,Overcast,18.3,11.42,1007.43,1819.0411,TRUE,TRUE,TRUE,FALSE,0.051516,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.106961,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,15,12,FALSE,Europe,MostlyCloudy,22.7,7.22,1018.2,166.13933,FALSE,FALSE,FALSE,TRUE,0.205597,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.075365,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
afternoon,14,5,FALSE,Europe,MostlyCloudy,16.7,2.56,1019.94,1573.4408,TRUE,TRUE,TRUE,FALSE,0.312259,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.055309,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
evening,17,10,TRUE,Africa,Clear,22.8,7.99,1010.7,849.44226,TRUE,TRUE,TRUE,FALSE,0.965807,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1.213256,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
night,0,0,TRUE,America,Clear,21.5,12.53,1020.58,0,FALSE,FALSE,FALSE,TRUE,1.872354,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.235229,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
